"BehaviorSpace results (NetLogo 6.2.0)"
"draft-adjusting.nlogo"
"virus-1"
"09/05/2021 05:50:16:705 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","no-of-nodes","average-node-degree","rural-pop","urban-pop","initial-outbreak-area","initial-outbreak-size","prob-infected","prob-recovered","prob-resistant","tourist-rate","[step]","%-sum-total-pop-i","%-sum-total-pop-i-urban","%-sum-total-pop-i-rural","%-sum-total-pop-r","%-sum-total-pop-r-urban","%-sum-total-pop-r-rural","mean-total-pop-i-%","mean-total-pop-i-%-urban","mean-total-pop-i-%-rural","mean-total-pop-r-%","mean-total-pop-r-%-urban","mean-total-pop-r-%-rural","var-total-pop-r-%","var-total-pop-r-%-urban","var-total-pop-r-%-rural"
"35","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.0364249261348375","0.03661820786465148","0.03603029486016814","0.9101101262422777","0.9096889593162147","0.9109700401153623","0.03630474915604552","0.036473970230770786","0.03603252394887877","0.9102464185711584","0.9097887582126495","0.9109826548000639","1.8423252170745964E-5","1.5282455205515338E-5","2.3481214658516833E-5"
"37","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.036065248226950355","0.036194927545587965","0.035814460619074964","0.9109219858156028","0.9109071111627567","0.9109507519954723","0.035925847409344194","0.03597635539112941","0.03585513623484489","0.911181684503014","0.9111426377735707","0.9112363499242341","2.0862999193077857E-5","2.0858153560483596E-5","2.1733819207517326E-5"
"38","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03623985572587917","0.036460541457210345","0.0357374982766431","0.910790501953712","0.9106915735829794","0.9110156973194414","0.03627073268399664","0.036359769764994304","0.03616190958499951","0.9111159473047147","0.9109189878972775","0.9113566754693598","1.835280299674065E-5","1.1658639046861737E-5","2.7188234873400227E-5"
"39","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.036100408639813196","0.03614301337031714","0.036002578485043825","0.9111792177466433","0.9111760096872996","0.9111865841808018","0.03527188385696815","0.03574103174156856","0.03465838277710606","0.8965578253190086","0.9118054514667862","0.8766186218949917","0.013871134381572288","1.7458722091842017E-5","0.03198317038056401"
"41","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03594119527005433","0.03602678475921528","0.03581411600279525","0.9114860977948226","0.9113182722546691","0.911735277301315","0.03590683020738193","0.03580869182301025","0.03601173675619302","0.9115832656607268","0.9113021856587503","0.9118837304904258","1.6821039640659526E-5","1.2904113636758891E-5","2.1437523228593032E-5"
"40","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03613073110285006","0.03573648732654749","0.036659966474852514","0.9106970260223048","0.9110236603547162","0.9102585500010885","0.036277654239428934","0.036292876412970125","0.03626025746966756","0.910386949898975","0.9102027824734626","0.910597426956703","3.0333307679398624E-5","3.709520930412489E-5","2.3606958651317502E-5"
"42","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.036214128035320085","0.03579177474347053","0.03709770997576874","0.910369757174393","0.9104838578117098","0.9101310535476604","0.03616331068085503","0.035809920521457275","0.03669339591995164","0.9102286405872831","0.9104191230081964","0.909942916955913","1.7336565475972398E-5","1.6966943817153314E-5","1.8510817814829224E-5"
"44","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03612655800575264","0.036172103750797435","0.036062054533239636","0.91061041866411","0.9104366933659032","0.9108564544899961","0.035806677163568904","0.036082251584389546","0.03551209761027787","0.9112081376103828","0.9106478663380662","0.911807048280791","1.919875873800486E-5","1.785236425240357E-5","2.0607953263262832E-5"
"43","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.036189293598233994","0.03618613915459926","0.036196221622479756","0.910424944812362","0.910062726389257","0.9112204759132843","0.03573352447149522","0.03584467358059856","0.035566800807840214","0.9113170745483035","0.9100287999085386","0.9132494865079508","3.155160565963679E-5","1.897050942802065E-5","4.557427237679677E-5"
"45","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.15","100","0.03623344370860927","0.03651878338756462","0.035557991953691914","0.9102235099337749","0.9094762788835552","0.9119923439285681","0.03586376262638787","0.03654563705204705","0.03484095098789909","0.9107701273695544","0.9093090493389886","0.9129617444154029","2.7514217459987173E-5","9.848007530400948E-6","4.724048502387226E-5"
